query_id	query_text	doc_id	snt_id	source_snt
G17.4	quantum applications	2524344971	G17.4_2524344971_4	We also study the evolution of fidelity of the entangled state itself and find that though the protections of QFI and quantum states are two different notions, the method can also be used to protect quantum states effectively when the driving fields are suitably strong.
G17.1	quantum computing	1502166895	G17.1_1502166895_5	Several classes of graphs which have few cliques are discussed, and the complexity of some partitioning and covering problems are determined for the class of all graphs which have fewer cliques than a given polynomial bound.
T19.1	traffic optimization	2064840401	T19.1_2064840401_7	Our evaluation comparing the performance of our cross-layer optimization framework with other approaches demonstrates that noticeable gains can be achieved on the network utilization and the perceived quality of services.
G14.2	end to end encryption	2293424065	G14.2_2293424065_6	We shall have to focus, first, on building comprehensive end-user mental models related to email, and email security.
T19.2	genetic algorithm	1978514531	T19.2_1978514531_7	Furthermore, we reveal dimensions of problem difficulty for XCSF - and local linear learners in general - showing how structural alignment, that is, alignment of XCSF's solution representation to the problem structure, can reduce the complexity of challenging problems by orders of magnitude.
G17.4	quantum applications	2314409663	G17.4_2314409663_1	We examine the measure of Markovianity based on entanglement through two typical dynamical models in qubit systems and compare it with the measures of Markovianity based on state distinguishability and dynamical divisibility.
G17.1	quantum computing	1502166895	G17.1_1502166895_2	This restriction is equivalent to the requirement that any graph in the class has a polynomial sized intersection representation that satisfies the Helly property.
T19.1	traffic optimization	2139158116	T19.1_2139158116_4	Network simulator-3 is used to implement and test our video streaming application with different provider-defined network location identifier and node sizes.
G17.1	quantum computing	2042591812	G17.1_2042591812_3	As a result, the design optimization must be directly implemented on majority gates instead of optimizing the design for AND–OR gates.
T19.2	genetic algorithm	2172121104	T19.2_2172121104_4	The effect of alphabet cardinality and the selection pressure on the scalability of the real-coded ECGA (rECGA) method is investigated.
G17.2	qbit	2012719958	G17.2_2012719958_6	Numerical values of invariants bring out distinct features of several four qubit states which have been proposed to be the maximally entangled four qubit states.
T19.1	traffic optimization	2041007121	T19.1_2041007121_6	A proof-of-concept implementation gathers network management system data and exposes abstract maps through the Application-Layer Traffic Optimization (ALTO) protocol.
G07.2	conspiracy theories	1917985537	G07.2_1917985537_3	This paper outlines an empirical methodology to analyze the representation of topics in search engines, reducing the spatial and temporal biases in the results.
G17.1	quantum computing	2962706423	G17.1_2962706423_2	We briefly describe several prominent quantum computational models, their associated quantum processing units (QPUs), and the adoption of these devices as accelerators within high-performance computing systems.
G14.2	end to end encryption	2088744588	G14.2_2088744588_7	We especially wished to determine whether a tunnel, as used in software virtual private networks (VPNs) or hardware encryption devices, would survive RF shadow transits and mesh network topology changes.
G07.2	conspiracy theories	1887815499	G07.2_1887815499_2	We represent the initial report of an event (such as the 9/11 terroristic attack) as a series of strings of information, each string classified by a two-state variable Ei = ±1, i = 1, …, N. If the values of the Ei are set to −1 for all strings, a state of minimum entropy is achieved.
G17.1	quantum computing	2480433103	G17.1_2480433103_1	Developing devices that can reliably and accurately demonstrate the principles of superposition and entanglement is an on-going challenge for the quantum computing community.
T19.2	genetic algorithm	1543999319	T19.2_1543999319_5	Our results suggest that the hyperplane tiles improve the generalization capabilities of the tile coding approximator: in the hyperplane tile coding broad generalizations over the problem space result only in a soft degradation of the performance, whereas in the usual tile coding they might dramatically affect the performance.
T15.2	side-channel attack	2412345753	T15.2_2412345753_3	However, virtualization introduces serious threats to service delivery such as Denial of Service (DoS) attacks, Cross-VM Cache Side Channel attacks, Hypervisor Escape and Hyper-jacking.
T19.2	genetic algorithm	2125861761	T19.2_2125861761_1	This paper presents an approach to analyze population evolution in classifier systems using a symbolic representation.
