topic_id;topic_text;topic_url;query_id;query_text
T12;Deep-learning diagnoses: AI detects COVID-19 from smartwatch sensors;https://techxplore.com/news/2022-03-deep-learning-ai-covid-smartwatch-sensors.html;T12.3;diagnosis
T12;Deep-learning diagnoses: AI detects COVID-19 from smartwatch sensors;https://techxplore.com/news/2022-03-deep-learning-ai-covid-smartwatch-sensors.html;T12.4;healthcare
T13;Injecting fairness into machine-learning models;https://techxplore.com/news/2022-03-fairness-machine-learning.html;T13.1;fairness
T13;Injecting fairness into machine-learning models;https://techxplore.com/news/2022-03-fairness-machine-learning.html;T13.2;bias
T13;Injecting fairness into machine-learning models;https://techxplore.com/news/2022-03-fairness-machine-learning.html;T13.3;imbalanced data
T13;Injecting fairness into machine-learning models;https://techxplore.com/news/2022-03-fairness-machine-learning.html;T13.4;sensitive attribute
T14;Aqua-Fi: Underwater WiFi developed using LEDs and lasers;https://techxplore.com/news/2020-06-aqua-fi-underwater-wifi-lasers.html;T14.1;wifi
T14;Aqua-Fi: Underwater WiFi developed using LEDs and lasers;https://techxplore.com/news/2020-06-aqua-fi-underwater-wifi-lasers.html;T14.2;underwater wireless
T14;Aqua-Fi: Underwater WiFi developed using LEDs and lasers;https://techxplore.com/news/2020-06-aqua-fi-underwater-wifi-lasers.html;T14.3;light beam
T15;Cyberattack can steal data via cooling fan vibrations;https://techxplore.com/news/2020-04-cyberattack-cooling-fan-vibrations.html;T15.1;cyber-security
T15;Cyberattack can steal data via cooling fan vibrations;https://techxplore.com/news/2020-04-cyberattack-cooling-fan-vibrations.html;T15.2;side-channel attack
T15;Cyberattack can steal data via cooling fan vibrations;https://techxplore.com/news/2020-04-cyberattack-cooling-fan-vibrations.html;T15.3;accelerometer
T16;How it takes just six seconds to hack a credit card;https://techxplore.com/news/2016-12-seconds-hack-credit-card.html;T16.1;credit card fraud
T16;How it takes just six seconds to hack a credit card;https://techxplore.com/news/2016-12-seconds-hack-credit-card.html;T16.2;guessing attack
T16;How it takes just six seconds to hack a credit card;https://techxplore.com/news/2016-12-seconds-hack-credit-card.html;T16.3;distributed attack
T17;Unfixable security flaw found in Intel chipset;https://techxplore.com/news/2020-03-unfixable-flaw-intel-chipset.html;T17.1;chipset
T17;Unfixable security flaw found in Intel chipset;https://techxplore.com/news/2020-03-unfixable-flaw-intel-chipset.html;T17.2;OTP memory
T17;Unfixable security flaw found in Intel chipset;https://techxplore.com/news/2020-03-unfixable-flaw-intel-chipset.html;T17.3;vulnerability
T17;Unfixable security flaw found in Intel chipset;https://techxplore.com/news/2020-03-unfixable-flaw-intel-chipset.html;T17.4;key generation
T18;Backscatter breakthrough runs near-zero-power IoT communicators at 5G speeds everywhere;https://techxplore.com/news/2021-06-backscatter-breakthrough-near-zero-power-iot-5g.html;T18.1;backscatter
T18;Backscatter breakthrough runs near-zero-power IoT communicators at 5G speeds everywhere;https://techxplore.com/news/2021-06-backscatter-breakthrough-near-zero-power-iot-5g.html;T18.2;low power IoT
T18;Backscatter breakthrough runs near-zero-power IoT communicators at 5G speeds everywhere;https://techxplore.com/news/2021-06-backscatter-breakthrough-near-zero-power-iot-5g.html;T18.3;passive device
T18;Backscatter breakthrough runs near-zero-power IoT communicators at 5G speeds everywhere;https://techxplore.com/news/2021-06-backscatter-breakthrough-near-zero-power-iot-5g.html;T18.4;mmWave
T19;A new genetic algorithm for traffic control optimization;https://techxplore.com/news/2019-07-genetic-algorithm-traffic-optimization.html;T19.1;traffic optimization
T19;A new genetic algorithm for traffic control optimization;https://techxplore.com/news/2019-07-genetic-algorithm-traffic-optimization.html;T19.2;genetic algorithm
T19;A new genetic algorithm for traffic control optimization;https://techxplore.com/news/2019-07-genetic-algorithm-traffic-optimization.html;T19.3;road accident
T20;Software developed to help programmers prototype graphic user interfaces;https://techxplore.com/news/2020-11-software-programmers-prototype-graphic-user.html;T20.1;user-friendly
T20;Software developed to help programmers prototype graphic user interfaces;https://techxplore.com/news/2020-11-software-programmers-prototype-graphic-user.html;T20.2;graphical user interface
